Marca de Tiempo,Uso de Memoria (%)
19:17:42,70.0
19:17:43,70.0
19:17:44,70.1
19:17:45,70.1
19:17:46,70.0
19:17:47,70.0
19:17:48,70.0
19:17:49,70.0
19:17:50,70.0
19:17:51,70.5
19:17:52,70.6
19:17:53,70.9
19:17:54,70.9
19:17:55,71.0
19:17:56,71.0
19:17:57,71.0
19:17:58,70.9
19:17:59,70.5
19:18:00,70.7
19:18:01,70.6
19:18:02,70.6
19:18:03,70.5
19:18:04,70.6
19:18:05,70.5
19:18:06,70.5
19:18:07,70.5
19:18:08,70.5
19:18:09,70.5
19:18:10,70.5
19:18:11,70.5
19:18:12,70.4
19:18:13,70.5
19:18:14,70.5
19:18:15,70.6
19:18:16,70.6
19:18:17,70.5
19:18:18,70.6
19:18:19,70.6
19:18:20,70.6
19:18:21,70.6
19:18:22,70.7
19:18:23,70.3
19:18:24,70.4
19:18:25,70.7
19:18:26,70.7
19:18:27,70.7
19:18:28,70.6
19:18:29,70.7
19:18:30,70.7
19:18:31,70.7
19:18:32,70.5
19:18:33,70.4
19:18:34,70.5
19:18:35,70.5
19:18:36,70.6
19:18:37,70.4
19:18:38,70.4
19:18:39,70.4
19:18:41,70.3
19:18:42,70.3
19:18:43,70.3
19:18:44,70.3
19:18:45,70.4
19:18:46,70.5
19:18:47,70.5
19:18:48,70.4
19:18:49,71.0
19:18:50,70.7
19:18:51,70.7
19:18:52,70.8
19:18:53,70.8
19:18:54,70.8
19:18:55,71.0
19:18:56,71.5
19:18:57,71.6
19:18:58,71.5
19:18:59,71.6
19:19:00,71.8
19:19:01,72.2
19:19:02,73.1
19:19:03,73.2
19:19:04,73.5
19:19:05,72.5
19:19:06,72.4
19:19:07,72.2
19:19:08,72.2
19:19:09,72.2
19:19:10,72.3
19:19:11,72.2
19:19:12,72.2
19:19:13,72.1
19:19:14,72.0
19:19:15,72.1
19:19:16,72.1
19:19:17,72.0
19:19:18,71.6
19:19:19,71.7
19:19:20,71.7
19:19:21,71.7
19:19:22,71.6
19:19:23,71.6
19:19:24,71.6
19:19:25,71.7
19:19:26,71.5
19:19:27,71.6
19:19:28,71.5
19:19:29,71.6
19:19:30,71.6
19:19:31,71.1
19:19:32,71.1
19:19:33,71.1
19:19:34,71.1
19:19:35,71.1
19:19:36,71.1
19:19:37,71.1
19:19:38,71.0
19:19:39,71.0
19:19:40,71.0
19:19:41,71.1
19:19:42,71.9
19:19:43,71.8
19:19:44,71.9
19:19:45,71.9
19:19:46,71.9
19:19:47,71.9
19:19:48,71.8
19:19:49,71.4
19:19:50,71.4
19:19:51,70.7
19:19:52,70.7
19:19:53,70.7
19:19:54,70.7
19:19:55,70.5
19:19:56,70.5
19:19:57,70.5
19:19:58,70.5
19:19:59,70.5
19:20:00,70.5
19:20:02,70.5
19:20:03,70.6
19:20:04,70.6
19:20:05,70.6
19:20:06,70.6
19:20:07,70.6
19:20:08,70.6
19:20:09,70.6
19:20:10,70.6
19:20:11,70.6
19:20:12,70.7
19:20:13,70.7
19:20:14,70.7
19:20:15,70.7
19:20:16,70.8
19:20:17,70.8
19:20:18,70.8
19:20:19,70.8
19:20:20,70.7
19:20:21,70.7
19:20:22,70.7
19:20:23,70.8
19:20:24,70.9
19:20:25,70.9
19:20:26,71.1
19:20:27,71.2
19:20:28,71.1
19:20:29,71.1
19:20:30,71.2
19:20:31,71.2
19:20:32,70.7
19:20:33,70.6
19:20:34,70.6
19:20:35,70.6
19:20:36,70.6
19:20:37,70.6
19:20:38,70.5
19:20:39,70.5
19:20:40,70.5
19:20:41,70.5
19:20:42,70.5
19:20:43,70.6
19:20:44,70.7
19:20:45,70.7
19:20:46,70.6
19:20:47,70.4
19:20:48,70.5
19:20:49,70.5
19:20:50,70.5
19:20:51,70.5
19:20:52,70.4
